gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,MonthlyCharges_Tenure
0,0,1,1,1,2,1,2,0,0,0,2,2,1,1,1,99.65,6311.2,0,6277.950000000001
1,1,1,1,1,2,1,0,2,2,2,2,2,1,1,2,108.45,7076.35,0,7157.7
0,0,1,1,1,2,2,1,1,1,1,1,1,2,0,1,24.95,894.3,0,848.3
0,0,0,0,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7,0,7740.0
0,0,1,0,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4707.1,0,4723.5
1,0,0,0,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,0,5394.0
1,0,1,0,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2962.0,0,3031.2000000000003
0,0,1,1,1,0,0,0,0,2,2,0,0,1,1,1,54.4,957.1,1,979.1999999999999
0,0,0,0,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,2,849.6
0,0,0,0,1,0,0,0,2,0,2,2,2,0,1,2,75.3,244.1,2,225.89999999999998
1,0,1,0,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35,0,3708.3
0,0,0,0,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2497.2,0,2455.2000000000003
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9,0,1007.4999999999999
1,0,0,0,1,0,1,2,0,2,0,0,0,0,1,3,79.85,887.35,2,798.5
1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,49.05,49.05,2,49.05
0,0,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.4,1090.65,0,1060.8
1,1,1,1,1,2,1,2,0,2,2,2,2,2,1,0,111.6,7099.0,0,7142.4
1,0,1,1,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1424.6,0,1503.5
0,0,0,1,1,0,0,2,0,0,2,0,2,0,1,0,64.5,177.4,2,193.5
0,1,0,0,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5,0,6188.0
0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2688.85,0,2559.9
0,0,1,1,1,0,0,2,2,0,0,0,0,0,0,3,54.65,482.25,2,437.2
1,1,0,0,1,0,0,2,2,0,0,2,2,0,1,2,74.75,2111.3,0,2242.5
0,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,25.9,1216.6,0,1165.5
0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,2,79.35
0,0,1,1,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35,2,556.05
0,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,2,526.0500000000001
0,0,0,0,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5,0,4359.599999999999
0,0,1,0,1,0,2,1,1,1,1,1,1,2,1,0,20.15,973.35,0,987.3499999999999
1,0,0,0,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,2,893.6999999999999
0,0,1,0,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45,0,2175.25
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1057.0,0,991.1999999999999
0,0,1,1,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,0,917.6999999999999
1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,3,33.75,1009.25,0,978.75
1,0,1,1,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2570.2,0,2461.5
1,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,74.7,74.7,2,74.7
1,0,1,1,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5714.25,0,5544.0
0,0,0,0,1,2,1,2,2,2,0,2,2,0,1,1,111.05,7107.0,0,7218.25
1,0,0,0,1,2,1,0,2,2,0,2,2,2,1,0,100.9,7459.05,0,7264.8
0,0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,2,947.4000000000001
1,0,1,1,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4748.7,0,4746.349999999999
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,2,105.25
1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2,0,1092.0
0,1,1,0,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,0,2462.5
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,20.2,20.2,2,20.2
0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,19.45,2,19.45
1,0,0,0,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3605.6,0,3610.0
0,1,1,0,0,1,0,0,2,2,0,2,0,1,0,0,45.55,3027.25,0,3006.2999999999997
1,0,1,0,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,0,7480.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,24.3,100.2,2,121.5
0,0,1,1,1,2,1,2,2,0,0,2,2,1,1,2,104.15,7303.05,0,7498.8
0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,30.15,927.65,0,964.8
1,0,0,0,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,0,4057.0499999999997
1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,19.4,1363.25,0,1396.8
1,0,1,0,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,0,5321.25
0,0,0,0,1,0,0,2,0,2,2,0,0,1,0,1,57.95,3042.25,0,3013.4
0,0,0,0,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3954.1,0,3940.9500000000003
0,1,1,0,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,0,2830.5
0,0,1,1,0,1,0,0,2,0,2,2,2,2,1,2,54.6,3423.5,0,3494.4
1,0,1,1,1,0,1,2,2,0,0,2,0,0,0,2,89.85,248.4,2,269.54999999999995
0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,31.05,1126.35,0,1117.8
0,0,1,1,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,2,1002.5
0,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,20.65,835.15,0,846.65
1,0,1,1,1,2,1,0,2,0,2,0,0,0,1,1,85.2,2151.6,0,2300.4
0,0,1,1,1,2,1,0,0,2,0,2,2,1,1,1,99.8,5515.45,0,5588.8
0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,20.7,112.75,2,124.19999999999999
1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,2,223.20000000000002
0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35,2,354.90000000000003
0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.85,62.9,2,83.4
1,0,0,0,1,0,1,2,0,0,2,2,0,2,1,2,88.95,3027.65,0,2935.35
0,1,0,0,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,0,2107.35
1,0,1,0,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1723.95,0,1695.6000000000001
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,19.75,19.75,2,19.75
1,1,0,0,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35,0,4007.9500000000003
0,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,85.95,1215.65,1,1117.3500000000001
0,0,1,1,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,0,1465.0
1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1,0,3386.85
1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45,2,35.45
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,2,88.7
0,0,0,0,1,2,2,1,1,1,1,1,1,2,1,1,25.7,1188.2,0,1105.1
0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1778.5,1,1725.0
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,3,20.2,1277.75,0,1292.8
1,0,0,1,1,0,2,1,1,1,1,1,1,2,1,3,19.6,1170.55,0,1117.2
0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,2,70.45
0,1,1,1,1,2,0,2,2,2,2,2,2,2,1,1,88.05,6425.65,0,6339.599999999999
0,0,0,0,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65,2,569.2
0,0,1,0,1,2,1,0,2,0,0,2,2,2,1,0,101.05,5971.25,0,6164.05
1,0,0,0,1,2,1,2,2,0,0,0,0,1,1,1,84.3,5289.05,0,5395.2
1,1,1,0,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1756.2,0,1700.45
0,0,1,1,1,2,1,2,2,0,2,2,0,2,1,1,99.05,6416.7,0,6438.25
1,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,19.6,61.35,2,58.800000000000004
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,2,45.65
1,0,0,1,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1929.95,0,1935.0
1,0,1,1,1,0,0,0,2,2,2,0,2,0,1,3,69.5,1071.4,1,1042.5
0,0,1,1,1,0,0,0,0,0,2,2,2,0,1,2,68.55,564.35,2,548.4
1,0,0,0,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5,2,665.0
0,0,1,1,1,2,1,2,2,2,0,2,2,1,1,1,108.15,7930.55,0,7570.5
1,0,1,1,1,0,0,2,2,2,2,2,2,2,0,2,86.1,5215.25,0,5338.2
0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.7,113.5,2,118.19999999999999
0,0,1,1,1,0,1,0,0,0,0,0,2,0,1,0,80.9,1152.8,1,1132.6000000000001
0,0,0,0,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1821.95,1,1851.3000000000002
1,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,20.15,419.9,1,443.29999999999995
1,0,1,1,1,0,0,2,0,2,0,2,0,2,0,3,64.25,1024.0,1,1028.0
1,0,0,0,1,2,2,1,1,1,1,1,1,2,0,0,25.7,251.6,2,257.0
0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,2,56.0,764.55,1,728.0
0,0,1,0,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35,1,1648.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,69.7,135.2,2,139.4
1,0,0,0,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3958.25,0,3916.7000000000003
0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,20.6,233.9,2,226.60000000000002
1,0,1,0,1,0,2,1,1,1,1,1,1,2,0,3,19.9,1363.45,0,1373.1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0,2,283.6
1,0,1,0,1,2,0,2,2,2,2,2,2,2,1,0,89.05,6254.45,0,6411.599999999999
1,1,1,0,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2,0,2627.3999999999996
0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,2,20.4,321.4,1,326.4
1,0,1,0,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3539.25,0,3622.75
0,0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8,2,208.8
1,0,1,0,1,0,0,0,2,2,2,2,2,2,0,3,81.95,1181.75,1,1147.3
0,0,1,0,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2,0,5027.049999999999
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,20.55,654.55,0,657.6
0,0,1,0,1,2,2,1,1,1,1,1,1,0,0,2,24.7,780.2,0,839.8
0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,1,1116.75
0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,2,535.15
0,0,1,1,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1559.25,1,1580.25
1,0,1,0,1,0,2,1,1,1,1,1,1,1,1,1,20.55,1252.0,0,1253.55
0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,29.95,29.95,2,29.95
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,45.3,45.3,2,45.3
1,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,84.5,662.65,2,676.0
1,0,1,1,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2453.3,0,2466.75
0,0,0,0,1,0,1,0,2,2,0,0,0,0,1,2,79.25,1111.65,1,1030.25
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,2,24.8
1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,3,51.8,1023.85,1,1036.0
1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,30.4,82.15,2,91.19999999999999
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,2,19.65,244.8,1,255.45
0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2379.1,0,2264.0
1,0,1,1,1,2,0,2,0,0,2,0,2,1,1,1,71.9,3173.35,0,3091.7000000000003
1,0,1,0,1,0,1,0,2,2,0,0,2,0,1,2,91.0,531.0,2,546.0
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,19.75,1375.4,0,1362.75
0,0,1,1,1,2,1,2,2,2,0,2,2,2,0,1,109.7,8129.3,0,7898.400000000001
1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,19.3,1192.7,0,1138.7
0,0,1,0,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1901.65,1,1931.0
1,0,1,1,1,2,2,1,1,1,1,1,1,2,1,0,24.1,587.4,1,578.4000000000001
1,0,0,0,1,2,1,0,2,2,2,2,2,0,1,2,111.35,6519.75,0,6569.65
1,0,1,1,1,2,1,0,2,2,2,2,2,2,1,0,112.25,8041.65,0,8082.0
1,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,20.75,2,20.75
0,0,1,0,1,0,1,2,0,0,2,2,2,1,1,1,101.9,2681.15,0,2751.3
0,0,0,0,1,0,1,0,2,0,2,0,0,0,1,1,80.05,1112.3,1,1120.7
1,0,1,1,1,2,1,2,0,2,0,2,2,2,0,2,105.55,7405.5,0,7494.05
1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,1,78.3,1033.95,1,1017.9
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2958.95,0,3029.3999999999996
0,0,0,0,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2684.85,0,2638.35
1,0,1,1,0,1,0,2,2,2,2,0,2,2,1,1,55.45,4179.2,0,3992.4
1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,79.9,79.9,2,79.9
0,0,0,0,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1934.45,1,2025.3999999999999
1,0,1,0,1,0,1,0,2,2,2,2,2,1,1,1,102.45,6654.1,0,6556.8
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,46.0,84.5,2,92.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,25.25,25.25,2,25.25
1,0,0,1,1,0,2,1,1,1,1,1,1,2,0,3,19.75,1124.2,0,1204.75
0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,2,20.0,540.05,0,580.0
1,1,1,0,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1975.85,1,1996.3999999999999
0,0,1,0,0,1,0,2,2,2,0,2,2,0,1,0,58.75,3437.45,0,3348.75
1,0,1,1,0,1,0,2,2,2,2,0,0,2,0,1,45.25,3139.8,0,3258.0
1,0,1,0,0,1,0,2,2,2,2,2,0,2,1,0,56.6,3789.2,0,3735.6
1,0,1,1,1,2,0,0,2,2,2,2,2,2,1,0,84.2,5324.5,0,5473.0
0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,80.0,624.6,2,640.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,70.15,268.35,2,280.6
0,0,1,0,1,2,2,1,1,1,1,1,1,2,0,0,24.75,1836.9,0,1757.25
1,0,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,20.2,2,20.2
1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,3,50.05,179.35,2,200.2
0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,0,19.35,219.35,2,232.20000000000002
1,0,0,0,0,1,0,2,0,0,0,2,2,1,1,3,50.6,1288.75,1,1214.4
0,0,1,1,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2545.75,0,2515.65
0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2,2,55.2
1,0,0,0,1,2,1,0,0,0,2,0,2,0,1,1,89.9,2723.15,0,2697.0
0,0,1,1,1,2,0,2,2,0,2,2,2,2,1,1,85.3,4107.25,0,4009.1
1,0,0,0,1,2,1,2,2,0,2,2,2,2,1,1,108.0,5760.65,0,5832.0
1,0,0,0,1,0,1,2,2,0,2,0,2,0,1,1,93.5,4747.5,0,4675.0
1,0,0,0,1,0,1,2,0,0,0,0,2,0,1,3,84.6,84.6,2,84.6
0,0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1566.9,0,1458.0
0,0,0,0,1,2,2,1,1,1,1,1,1,0,0,2,25.15,702.0,0,729.3499999999999
1,0,0,0,1,2,0,0,2,0,0,0,0,0,1,3,54.4,114.1,2,108.8
0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,3,29.6,299.05,2,296.0
1,0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,73.15,1305.95,1,1316.7
0,1,0,0,1,0,1,0,2,0,0,2,2,0,1,2,95.0,1120.3,2,1045.0
1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,19.75,284.35,1,316.0
0,0,0,0,1,2,0,0,2,2,2,2,2,2,0,0,86.6,6350.5,0,6235.2
1,0,0,0,1,2,1,0,2,2,2,2,2,2,0,0,109.2,7878.3,0,7862.400000000001
0,0,1,1,1,0,0,2,0,0,2,2,2,1,1,1,74.7,3187.65,0,3062.7000000000003
0,1,1,0,1,0,1,2,2,2,0,0,2,0,0,2,94.4,6126.15,0,6136.0
0,1,0,0,1,0,0,0,2,2,0,0,0,0,1,2,54.8,731.3,1,712.4
1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,2,75.35,273.4,2,301.4
1,0,0,0,1,2,0,0,0,2,0,0,2,1,0,3,65.0,2531.8,0,2665.0
1,1,0,0,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3,1,1116.0
1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,3,48.55,48.55,2,48.55
1,0,0,0,1,2,1,2,2,2,0,0,2,1,1,2,99.0,4298.45,0,4158.0
0,0,1,0,1,0,1,2,2,2,0,2,0,1,1,2,93.5,4619.55,0,4768.5
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,70.4,147.15,2,140.8
1,1,1,0,0,1,0,0,2,0,0,2,0,0,0,2,40.2,40.2,2,40.2
1,0,0,1,1,2,0,0,2,2,2,2,2,1,0,1,83.7,2633.3,0,2678.4
1,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,19.85,193.05,2,198.5
0,0,1,1,0,1,0,0,2,2,2,2,2,2,1,2,59.55,4103.9,0,3989.85
0,0,1,1,1,2,1,2,2,2,2,2,2,2,0,1,115.1,7008.15,0,7021.099999999999
1,0,0,0,1,2,1,2,2,2,2,2,2,1,0,1,114.35,5791.1,0,5717.5
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,44.6,80.55,2,89.2
0,1,1,0,0,1,0,2,0,2,0,0,2,0,1,2,45.0,1228.65,0,1305.0
1,1,0,0,0,1,0,0,0,2,0,0,2,0,1,2,41.15,132.2,2,123.44999999999999
1,1,0,0,1,2,1,0,2,2,0,2,2,0,1,2,106.9,1364.3,1,1389.7
1,1,1,0,1,2,1,0,2,0,0,0,2,0,1,2,89.85,4925.35,0,5121.45
0,0,0,0,0,1,0,2,2,0,2,0,2,2,1,0,49.85,1520.1,0,1545.3500000000001
0,0,1,0,1,2,1,2,2,2,2,2,2,1,0,3,113.3,5032.25,0,5098.5
0,0,1,1,1,2,0,2,2,2,2,2,2,2,0,3,88.1,5526.75,0,5374.099999999999
1,0,0,0,1,2,2,1,1,1,1,1,1,2,0,0,24.9,1195.25,0,1245.0
0,1,0,0,1,0,1,2,2,0,2,2,2,0,1,3,105.0,2007.25,1,1995.0
1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6,0,1141.65
0,0,1,0,1,2,2,1,1,1,1,1,1,2,1,1,24.25,1732.95,0,1721.75
0,1,0,0,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,1,1511.2
1,0,1,0,1,0,0,2,2,0,2,0,0,2,1,2,59.75,3450.15,0,3405.75
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.8,24.8,2,24.8
1,1,1,0,1,2,1,0,2,0,2,2,2,0,0,2,107.05,2172.05,1,2141.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,70.6,70.6,2,70.6
1,0,1,0,1,2,1,0,2,0,2,0,0,0,1,2,85.4,401.1,2,427.0
0,0,1,0,1,2,1,0,2,2,0,2,2,0,1,2,105.05,5624.85,0,5462.599999999999
1,1,1,0,1,0,0,2,2,0,0,0,2,0,1,0,64.95,1339.8,1,1363.95
1,0,0,0,0,1,0,0,0,2,2,2,2,0,1,2,55.0,771.95,1,770.0
0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,50.55,244.75,2,252.75
0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,3,55.15,322.9,2,330.9
0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,51.2,498.25,2,512.0
0,0,0,1,1,2,2,1,1,1,1,1,1,0,0,3,25.4,25.4,2,25.4
0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,3,54.45,3687.75,0,3702.6000000000004
1,0,1,1,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95,1,1712.7
